Address,Total Tokens,Total Return,Good Trades,Bad Trades,Winning%,Unrealized Profits
0xb9b8ef61b7851276b0239757a039d54a23804cbb,5,-5.73283179,0,1,0,-3098.593374
0x32802f989b4348a51dd0e61d23b78be1a0543469,11,-38584.62247,0,1,0,50.18135203
0x7532a9e3e9475337c8a907428e35932a20959fdf,6,0,0,0,0,2328.048995
0x28f26718a83b6ce3d1d24a787d83c7164231afd9,2,0,0,0,0,9.867378209
0xfb06e716aac5654144df6e421c9daa10bd1ff3a4,0,0,0,0,0,0
0xb328a96c16dd5598df8ba4570fdfa97b503115c4,5,-51.74658881,0,2,0,-1914.724956
0xdd11ef5a5ac03c24b5079c05a8904cdbb2ecf59d,8,-2217.817043,0,2,0,-2118.282414
0x5e7b645d5bf86750cb1913122ba8a8545e2a9fd1,1,0,0,0,0,-519.420358
0x575740f581038f792425670fa6bfebcc8e4dcdff,5,20.01272213,1,1,0.5,142.7126295
0xe9216959374d0d105d4b83938496fb468bf36073,0,0,0,0,0,0
0x8928b26de9ecc59cacdba095c6ed6237f48ddbd2,0,0,0,0,0,0
0xe345718132bafa255374cedd4f08232c7167269d,3,-42.89163119,0,1,0,-2646.173008
0x1cdfb7f34e9d8bbaf5583a58783bfc4b67d3127b,0,0,0,0,0,0
0x62f5048e943ba5c2f51d5d4480f03de876347b35,0,0,0,0,0,0
0xbcb05a3f85d34f0194c70d5914d5c4e28f11cc02,0,0,0,0,0,0
0x85b7fb4766146e2f77d980b597816a781ef548e2,0,0,0,0,0,0
0x8136c5f496577855386502276fe5c81c7254cc0f,5,0,0,0,0,-692.0463369
0xee88a8f50f1b77adc695dfcc34b0c820ec8a3278,0,0,0,0,0,0
0x4085e9fb679dd2f60c2e64afe9533107fa1c18f2,87,156.4861608,5,4,0.555555556,-33229.20628
0xd38fbaaab882852276cf81a11d22ef586b76b8b7,4,-53.42145309,0,1,0,-1.817389364
0xd9c4575f40acb46668bb1cef728319cc656e712c,0,0,0,0,0,0
0x1146cc7887efd6349086afc58cd99ebafc521aca,0,0,0,0,0,0
0x7c7562fbf561859333ed41ddb408b2081279d8b8,2,0,0,0,0,-19160.71751
0xd5a6c836cf90da8c3ed8880abd2730e217f2bc12,0,0,0,0,0,0
0x665268715678f9a1357c83907d5e5f725ac59973,0,0,0,0,0,0
0xa3544d5a648d8b4649455c836743b4ab49289bc1,0,0,0,0,0,0
0x6bdac4f8dfda978b26df826ae4ef57f6d3b4f6b7,18,-950.8966724,0,4,0,-2229.622477
0x44944113c500d5d656bc49bd019168f05a238553,32,0,0,0,0,-27942.12414
0xacb2585fd7d245d3066c0dff81edfbea0afc63cc,0,0,0,0,0,0
0xba03eca6b692532648c4da21840fb9af578147a2,1,0,0,0,0,-1.290976091
0x7bfee91193d9df2ac0bfe90191d40f23c773c060,90,1959.957145,13,12,0.52,-90478.92389
0x0dd2ccca95f720b29d912d6e461b61b135625f83,2,0,0,0,0,0
0x9d4c1c518442ad9eb23cb79a4792d508b49c81af,3,0,0,0,0,-48209.31826
0xc537b677d45530cc2352c904b4af221f4de3d16f,8,0,0,0,0,288.6452185
